,REFERENCE: doi,NAME,FORMULA,Family,PROPERTY: Material Family,IDENTIFIER: sampleid,IDENTIFIER: paperid,IDENTIFIER: figureid,PROPERTY: Temperature (K),PROPERTY: Seebeck coefficient (V/K),PROPERTY: Thermal conductivity (W*m^(-1)*K^(-1)),PROPERTY: Power factor (W*m^(-1)*K^(-2)),PROPERTY: ZT (-),PROPERTY: Electrical conductivity (S*m^(-1)),PROPERTY: sigma_E_0,PROPERTY: log sigma_E_0,PROPERTY: quality_factor,PROPERTY: log quality_factor,inexpensive,non-toxic,n_elements,electron_count,PROPERTY: Seebeck coefficient (muV/K),|S|(muV/K),,L,L*sigma*T,Electronic thermal conductivity,Lattice thermal conductivity,
42318,10.1063/1.3663526,Tm,BaTmCo4O7,,,24909,2038,20199,300,0.000135102,0.420721956,5.91E-07,0.000304311,37.72042493,23.665,1.374106509,0.000125367,,1,TRUE,4,0,135.102,135.102,0.31202486,1.81202486,1.81202E-08,0.000205051,0.420516905,
42317,10.1063/1.3663526,Er,BaErCo4O7,,,24908,2038,20199,300,0.000136928,0.636228172,3.58E-07,0.00014652,36.94601205,23.710125,1.374933844,8.3E-05,,1,TRUE,4,0,136.928,136.928,0.307151615,1.807151615,1.80715E-08,0.000200301,0.636027871,
42274,10.1039/c5ta01967b,x=0,Sr5(InSb3)2,,Antimonide,13181,2814,11013,300,0.00026657,1.087364621,,0.004761905,8.861419773,26.4053125,1.421691312,5.41E-05,,1,TRUE,3,46,266.57,266.57,0.10045783,1.60045783,1.60046E-08,4.2547E-05,1.087322074,
42270,10.1039/c5mh00033e,x=0.1,Nb7.9W9.1O47,,,24114,3737,19544,300,-0.000159253,2.000625195,5.82E-07,0.000165148,31.89616426,26.8805,1.429437343,2.99E-05,,1,TRUE,3,0,-159.253,159.253,0.253378543,1.753378543,1.75338E-08,0.000167778,2.000457417,
42257,10.3938/jkps.63.2153,Mg2Si0.5Sn0.5,Mg2Si0.5Sn0.5,Mg2Si,Mg2Si,9154,3575,7532,300,7.62E-05,1.696063703,,0.001780422,98.99407217,27.998,1.447127009,3.68E-05,,1,TRUE,3,8,76.2,76.2,0.518457847,2.018457847,2.01846E-08,0.000599446,1.695464257,
42256,10.1007/s10853-013-7220-1,CuCrS2.02,Cr1Cu1S2.02,,,7320,2965,5877,300,8.62E-05,1.02093393,7.55E-07,0.000498805,85.66433566,28.1370625,1.449278755,6.14E-05,,1,TRUE,3,0,86.2,86.2,0.475635512,1.975635512,1.97564E-08,0.000507725,1.020426205,
42251,10.1063/1.2809377,x=0.03,Ti1Fe0.03Co0.97Sb1,,,11357,1951,9366,300,3.92E-06,15.12205387,1.52E-05,0.00730545,2076.55633,28.740625,1.458496208,4.24E-06,,1,TRUE,4,17,3.92,3.92,0.966771506,2.466771506,2.46677E-08,0.01536717,15.1066867,
42244,10.1557/jmr.2011.153,Ru0.25In0.75-2,In0.75Ru0.25,Expensive,,19943,2888,16702,300,-8.89E-05,3.535843186,,0.002774639,86.09630637,29.4021875,1.468379643,1.85E-05,,0,TRUE,2,4,-88.9,88.9,0.464692534,1.964692534,1.96469E-08,0.000507458,3.535335728,
42231,10.1007/s11664-009-0700-z,x-??=0.15,Ca1.8Mn1Bi0.2O4,Toxic,,25891,11055,20845,300,-5.34E-05,0.689467159,,0.000333492,157.801,30.0904375,1.478428502,9.74E-05,,1,FALSE,4,0,-53.4,53.4,0.631065999,2.131065999,2.13107E-08,0.001008853,0.688458306,
42229,10.1007/s11664-009-0700-z,x-??=0.18,Ca1.7Mn1Bi0.3O4,Toxic,,25892,11055,20845,300,-5.59E-05,0.861420351,,0.000191619,150.646,30.1190625,1.47884145,7.8E-05,,1,FALSE,4,0,-55.9,55.9,0.617610949,2.117610949,2.11761E-08,0.000957029,0.860463322,
